id,industrie_pct_area,4sq_total_venues,total_units,div_i,checkins_all,Div,CheckinsAll,TotalUnits
BU03630539,1.215002008,6,4206,0.7766,455,0.7766,455,4206
BU03630640,2.275365198,8,6885,0.6696,293,0.6696,293,6885
BU03630641,1.448573964,1,3408,0.75,100,0.75,100,3408
BU03630642,0.647984738,3,6061,0.742,299,0.742,299,6061
BU03630643,3.218771471,5,3747,0.604,148,0.604,148,3747
BU03630760,0.559350041,2,5214,0.6826,108,0.6826,108,5214
BU03630761,4.31250283,6,4333,0.7648,163,0.7648,163,4333
BU03630762,0.144649767,0,1904,0.3628,10,0.3628,10,1904
BU03630763,0,0,927,0.3944,5,0.3944,5,927
BU03630764,2.290960218,1,711,0.3368,28,0.3368,28,711
BU03630765,3.156349949,1,5155,0.4916,44,0.4916,44,5155
BU03630766,0.45073407,1,3822,0.5522,62,0.5522,62,3822
BU03630767,8.432537196,3,1206,0.393,62,0.393,62,1206
BU03630768,0.19865627,1,5987,0.8066,36,0.8066,36,5987
BU03630769,0.36103564,8,7311,0.7076,163,0.7076,163,7311
BU03630770,0.110007478,1,6709,0.7504,64,0.7504,64,6709
BU03630771,62.69185045,8,1961,0.5316,1199,0.5316,1199,1961
BU03630772,76.81976947,1,400,0.4474,136,0.4474,136,400
BU03630773,16.56956681,3,853,0.217,41,0.217,41,853
BU03630875,34.82517483,1,13,0,54,0,54,13
BU03630876,0.37993317,0,4654,0.7976,76,0.7976,76,4654
BU03630877,0.839217691,7,8414,0.7876,151,0.7876,151,8414
BU03630878,0.514702022,2,6025,0.794,125,0.794,125,6025
BU03630879,5.258669699,1,974,0.6752,23,0.6752,23,974
BU03630980,37.16341917,1,482,0.377,38,0.377,38,482
BU03630981,0.914739078,6,9039,0.7244,501,0.7244,501,9039
BU03630982,0.886931299,0,6880,0.793,369,0.793,369,6880
BU03630983,14.78149053,1,3015,0.749,72,0.749,72,3015
BU03630984,1.63336137,1,5823,0.6842,355,0.6842,355,5823
BU03631085,3.325396377,5,8651,0.7648,1149,0.7648,1149,8651
BU03631086,1.441412149,8,5242,0.7754,369,0.7754,369,5242
BU03631087,0.552736794,8,4387,0.7486,665,0.7486,665,4387
BU03631088,1.599430026,6,5751,0.5814,872,0.5814,872,5751
BU03631192,25.7781506,32,1498,0.738,4008,0.738,4008,1498
BU03631193,0.731989653,11,10847,0.7408,1231,0.7408,1231,10847
BU03631194,0.80779804,4,12831,0.754,237,0.754,237,12831
BU03631195,0.033288948,5,1724,0.6178,203,0.6178,203,1724
BU03631196,0.09456202,6,8578,0.7372,914,0.7372,914,8578
BU03631197,0.019896884,2,5183,0.721,46,0.721,46,5183
BU03631198,2.780994427,0,671,0.269,7,0.269,7,671
BU03631227,5.6446043,20,2921,0.5716,1191,0.5716,1191,2921
BU03631228,2.011957348,13,6463,0.7206,535,0.7206,535,6463
BU03631229,2.002005404,9,5103,0.7504,895,0.7504,895,5103
BU03631230,0.420904265,3,4811,0.7848,380,0.7848,380,4811
BU03631255,5.116643089,11,5532,0.5806,1874,0.5806,1874,5532
BU03631256,1.166168095,4,7140,0.452,1477,0.452,1477,7140
BU03631257,1.357044385,2,2034,0.5252,88,0.5252,88,2034
BU03631258,38.92094417,6,1782,0.5482,971,0.5482,971,1782
BU03631324,3.760494123,35,10385,0.5744,1690,0.5744,1690,10385
BU03631325,4.469985853,20,7962,0.5952,914,0.5952,914,7962
BU03631326,1.7297545,4,4733,0.716,262,0.716,262,4733
BU03631344,16.55983187,1,6937,0.4864,400,0.4864,400,6937
BU03631345,11.89151395,11,2509,0.5468,287,0.5468,287,2509
BU03631346,0.454169701,6,2869,0.5312,509,0.5312,509,2869
BU03631347,0.9542109,57,6806,0.4724,2811,0.4724,2811,6806
BU03631348,1.539322438,21,6764,0.6278,897,0.6278,897,6764
BU03631349,0.274842566,7,4110,0.5136,428,0.5136,428,4110
BU03631350,1.938625505,1,941,0.4988,190,0.4988,190,941
BU03631452,0.337640609,25,7888,0.4704,1367,0.4704,1367,7888
BU03631453,0.55104256,3,3172,0.6032,431,0.6032,431,3172
BU03631454,1.059679643,9,5456,0.5514,483,0.5514,483,5456
BU03631459,0.396357145,10,1444,0.5304,543,0.5304,543,1444
BU03631490,1.581789288,24,10191,0.5692,2179,0.5692,2179,10191
BU03631491,1.80122484,7,5051,0.5576,815,0.5576,815,5051
